Lat,Lon,temp_K,dewpt_K,RH_pct,pres_Pa,RadDir_Wm_2,_RadDif_Wm_2,Longwave_Wm_2,Shortwave_Wm_2,WindDir_deg,WindSpd_ms_1
41.888172,-87.640289,280.21215723743325,274.85753771162445,73.22690269371462,99855.37660315646,109.79880413259268,55.47832757730004,301.1232688944832,165.27713172053748,198.9995197232404,2.802832799357942
41.889019,-87.640289,280.2193251633859,274.8631009175469,73.21887910809325,99854.34684609075,109.6708058185774,55.638737288797934,301.13611039680677,165.30954308781784,198.68040078567202,2.8066766669764323
41.867016,-87.627533,280.4227229114639,274.96114247571137,72.69209808878942,99870.17104933261,111.72210520659817,54.80069441868717,301.2125763762356,166.52279963783062,203.5361738198867,2.859702102221846
41.872887,-87.641266,280.2740135880286,274.8706429607587,72.98314645763286,99863.77058462385,109.5011107308863,55.28457668416837,301.34513940348074,164.78568738155784,197.5900258810931,2.7803534084227417
41.874687,-87.621918,280.36325465231886,274.9534130690206,72.95079249932415,99872.16700976004,112.14636002758283,54.248694405254696,300.99876796984046,166.3950544078736,205.9896774883417,2.880658304300078
41.884823,-87.631134,280.1967413301511,274.85989591644835,73.31577317229878,99865.60934101239,110.25002338029093,55.073704634578036,300.9290550967309,165.32372801262989,201.93209789617302,2.831933190842274
41.861889,-87.634308,280.5136365100537,274.98854021217335,72.37451906788044,99868.39920376678,111.43194640166408,55.024125341007064,301.53408542316447,166.45607173012596,200.75281365738797,2.8545427045281726
41.884007,-87.625427,280.25279907556825,274.8997094224041,73.23455126311559,99869.37844457716,111.49310724909179,54.55313137175808,300.83880382440634,166.04623862579174,203.82292357037272,2.8705065271606003
41.8908,-87.625488,280.27255616630055,274.92175067267846,73.24597259960287,99868.97952197089,111.70679946553193,54.52473930843964,300.72763635266557,166.23153876286165,203.67742576957852,2.905239399214325
41.86282,-87.619507,280.64330576041255,275.0766777580048,72.16686024904965,99873.15062509249,113.21225373430757,54.591031961561235,301.3134802872353,167.803285717116,206.97916571124432,2.9451077079074075
41.872032,-87.641266,280.2865844280225,274.8760069156036,72.94711280366649,99863.98858683718,109.5349731505449,55.25375404578861,301.37285868611144,164.78872718180307,197.7341705487878,2.7821606494044113
