ID,Avg. Ht,Lat,Lon,Electricity,Natural Gas,Total Energy,Total Area,Total Elec Per Area,temp_K,dewpt_K,RH_pct,pres_Pa,RadDir_Wm_2,_RadDif_Wm_2,Longwave_Wm_2,Shortwave_Wm_2,WindDir_deg,WindSpd_ms_1
1,1.74,41.867863,-87.628662,259.35,45.13,304.48,285.41,908.69,280.39280047343067,274.94619642823346,72.76697977899805,99869.72580382077,111.43543982056272,54.7673195929289,301.21964450527963,166.20275941243568,203.3032860104333,2.8481307272957657
5,3.03,41.867863,-87.628662,330.35,41.22,371.57000000000005,288.21,1146.2,280.39280047343067,274.94619642823346,72.76697977899805,99869.72580382077,111.43543982056272,54.7673195929289,301.21964450527963,166.20275941243568,203.3032860104333,2.8481307272957657
12,8.66,41.867863,-87.628662,585.84,46.6,632.44,754.84,776.11,280.39280047343067,274.94619642823346,72.76697977899805,99869.72580382077,111.43543982056272,54.7673195929289,301.21964450527963,166.20275941243568,203.3032860104333,2.8481307272957657
18,8.72,41.867863,-87.628662,588.2,46.46,634.6600000000001,754.85,779.23,280.39280047343067,274.94619642823346,72.76697977899805,99869.72580382077,111.43543982056272,54.7673195929289,301.21964450527963,166.20275941243568,203.3032860104333,2.8481307272957657
22,8.72,41.867863,-87.628662,588.2,46.46,634.6600000000001,754.84,779.24,280.39280047343067,274.94619642823346,72.76697977899805,99869.72580382077,111.43543982056272,54.7673195929289,301.21964450527963,166.20275941243568,203.3032860104333,2.8481307272957657
25,8.8,41.867863,-87.628662,591.25,46.29,637.54,754.85,783.27,280.39280047343067,274.94619642823346,72.76697977899805,99869.72580382077,111.43543982056272,54.7673195929289,301.21964450527963,166.20275941243568,203.3032860104333,2.8481307272957657
30,3.2,41.867863,-87.628662,312.35,40.47,352.82000000000005,202.21,1544.72,280.39280047343067,274.94619642823346,72.76697977899805,99869.72580382077,111.43543982056272,54.7673195929289,301.21964450527963,166.20275941243568,203.3032860104333,2.8481307272957657
32,15.57,41.867863,-87.628662,4641.05,582.74,5223.79,11525.83,402.66,280.39280047343067,274.94619642823346,72.76697977899805,99869.72580382077,111.43543982056272,54.7673195929289,301.21964450527963,166.20275941243568,203.3032860104333,2.8481307272957657
2,2.17,41.867859,-87.629822,295.28,43.49,338.77,313.14,942.95,280.3824548088623,274.93942070947054,72.78483002631579,99869.27691540746,111.12851691496974,54.86728172362086,301.25108338865414,165.99579865641638,202.63685962152593,2.8411101227506945
4,2.97,41.867859,-87.629822,303.2,41.07,344.27,251.16,1207.21,280.3824548088623,274.93942070947054,72.78483002631579,99869.27691540746,111.12851691496974,54.86728172362086,301.25108338865414,165.99579865641638,202.63685962152593,2.8411101227506945
